Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00834014


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
834014;1;01/12/1958;1;2,0;4,0;15;3;1;1;0;1800;1;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834014;1;01/11/1958;1;1,0;3,0;21;3;1;1;0;1800;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834014;1;01/10/1958;1;0,0;0,0;1;;1;1;0;1800;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834014;1;01/09/1958;1;19,0;44,0;5;10;1;1;0;1800;1;0,0;1,0;1,0;0,0;19,0;0,0;10,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;5,0;0,0;1,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834014;1;01/08/1958;1;35,0;216,0;9;16;1;1;0;1800;1;0,0;0,0;29,0;2,0;0,0;0,0;0,0;1,0;35,0;4,0;0,0;19,0;1,0;0,0;7,0;0,0;19,0;17,0;5,0;20,0;0,0;0,0;18,0;0,0;0,0;16,0;0,0;4,0;0,0;0,0;19,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834014;1;01/07/1958;1;77,0;422,0;4;18;1;1;0;1800;1;11,0;76,0;15,0;77,0;0,0;20,0;0,0;1,0;57,0;13,0;44,0;13,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;20,0;9,0;0,0;19,0;0,0;14,0;0,0;0,0;9,0;2,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834014;1;01/06/1958;1;59,0;289,0;22;16;1;1;0;1800;1;0,0;0,0;0,0;0,0;13,0;0,0;0,0;11,0;0,0;10,0;4,0;3,0;1,0;0,0;0,0;0,0;0,0;24,0;8,0;17,0;41,0;59,0;0,0;9,0;8,0;18,0;0,0;12,0;51,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834014;1;01/05/1958;1;124,0;533,0;1;21;1;1;0;1800;1;124,0;44,0;20,0;25,0;37,0;16,0;67,0;13,0;4,0;25,0;36,0;15,0;11,0;2,0;5,0;5,0;13,0;15,0;43,0;0,0;7,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834014;1;01/04/1958;1;15,0;56,0;4;9;1;1;0;1800;1;0,0;0,0;5,0;15,0;4,0;3,0;0,0;7,0;0,0;12,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834014;1;01/03/1958;1;76,0;143,0;27;11;1;1;0;1800;1;1,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;25,0;76,0;9,0;2,0;24,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
