Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00834005


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
834005;1;01/08/1970;1;37,4;183,6;11;27;1;1;0;;0;6,8;2,7;1,6;9,2;8,5;4,6;6,2;1,9;2,4;4,6;37,4;19,6;7,9;8,4;0,3;0,0;0,5;0,6;0,0;0,0;6,8;0,3;6,2;2,0;4,3;12,2;1,4;9,6;17,0;0,6;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/07/1970;1;125,1;485,3;20;19;1;1;0;;0;0,0;0,0;6,2;0,8;0,4;0,0;0,2;9,6;4,2;0,0;0,6;0,0;0,0;0,0;0,0;0,0;4,2;82,6;98,3;125,1;117,3;0,6;0,9;24,0;0,4;0,6;0,0;8,6;0,7;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/06/1970;1;26,5;211,4;4;30;1;1;0;;0;0,6;0,3;18,4;26,5;16,4;0,8;0,3;4,2;5,8;4,6;3,5;12,4;15,6;3,2;0,3;18,2;0,8;13,5;4,6;9,8;0,9;6,2;5,8;10,6;7,4;5,4;4,8;6,2;3,5;0,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834005;1;01/05/1970;1;26,2;144,0;14;28;1;1;0;;0;2,4;6,2;0,9;0,6;4,3;10,8;0,4;9,6;3,6;0,7;0,2;4,2;7,6;26,2;24,2;8,4;0,6;0,3;0,0;1,3;0,6;0,2;0,0;0,0;0,4;0,3;0,8;0,3;7,3;5,4;16,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/04/1970;1;76,2;386,5;22;21;1;1;0;;0;6,2;4,0;3,2;7,6;15,6;37,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;9,6;2,4;0,0;3,6;0,0;0,0;3,2;6,8;76,2;22,6;23,1;22,4;46,8;22,4;48,6;21,4;2,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
834005;1;01/03/1970;1;27,2;207,0;3;22;1;1;0;;0;14,8;21,6;27,2;3,4;1,2;6,4;10,2;3,0;0,0;0,0;1,2;1,3;4,2;0,4;1,2;1,6;0,0;0,0;0,0;0,0;0,0;10,2;13,4;22,5;13,6;7,3;24,2;0,3;17,8;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/02/1970;1;52,4;156,0;28;19;1;1;0;;0;0,9;0,6;0,0;2,5;0,0;4,3;1,9;25,0;35,0;0,0;0,0;0,0;0,0;0,0;0,4;0,8;1,2;0,3;0,2;7,6;5,6;6,6;3,0;3,9;0,0;0,0;3,8;52,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
834005;1;01/01/1970;1;12,8;79,6;20;15;1;1;0;;0;0,6;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,7;0,0;2,8;0,0;0,0;7,6;9,8;7,4;12,8;5,2;4,9;5,2;2,7;6,2;0,0;0,0;3,6;0,0;0,0;6,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/12/1969;1;6,5;19,5;2;10;1;1;0;;0;0,6;6,5;0,0;0,0;0,2;2,1;0,0;0,6;2,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;2,3;1,8;0,0;0,0;1,6;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
834005;1;01/11/1969;1;17,8;41,3;22;7;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,3;0,0;3,8;0,0;0,0;0,0;0,0;5,8;6,9;17,8;3,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
